Code,Name,lat,long
GBR,United Kingdom,52.597352,-1.534873
IRL,Ireland,53.332306,8.629055
DEU,Germany,51.77387,10.574742
POL,Poland,52.096874,19.183304
GRC,Greece,38.481022,23.758809
ITA,Italy,42.051185,12.461401
PRT,Portugal,39.638365,-7.970937
ESP,Spain,38.632397,-5.0852
CHN,China,35.703649,107.400296
IND,India,22.606858,79.627816
JPN,Japan,35.992619,137.776432
TUR,Turkey,39.136216,33.36457
CAN,Canada,58.622302,-102.046052
MEX,Mexico,24.127293,-103.578389
